ma_id_1,ma_id_2,review_id_1,review_id_2,n_shared,n_ma1,n_ma2,jaccard,shared_studies
CD011381__A1,CD012186__A2,CD011381,CD012186,40,44,105,0.367,achiron 1998; advance 2014; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; assess 2020; become 2009; beyond 2009; bornstein 1987; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; etemadifar 2007; fazekas 1997; freedoms 2010; freedoms ii 2014; gala 2013; golden 2017; goodkin 1991; ifnb ms group 1993; incomin 2002; johnson 1995; lewanska 2002; millefiorini 1997; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; sunbeam 2019; tower 2014; transforms 2010
CD011381__A2,CD012186__A2,CD011381,CD012186,40,45,105,0.3636,achiron 1998; advance 2014; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; assess 2020; become 2009; beyond 2009; bornstein 1987; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; fazekas 1997; freedoms 2010; freedoms ii 2014; gala 2013; golden 2017; goodkin 1991; ifnb ms group 1993; incomin 2002; johnson 1995; millefiorini 1997; mscrg 1996; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; sunbeam 2019; temso 2011; tower 2014; transforms 2010
CD011381__A2,CD012186__A1,CD011381,CD012186,32,45,85,0.3265,advance 2014; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; assess 2020; beyond 2009; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; freedoms 2010; freedoms ii 2014; gala 2013; golden 2017; johnson 1995; mscrg 1996; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; sunbeam 2019; temso 2011; tower 2014; transforms 2010
CD011381__A1,CD012186__A1,CD011381,CD012186,31,44,85,0.3163,advance 2014; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; assess 2020; beyond 2009; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; freedoms 2010; freedoms ii 2014; gala 2013; golden 2017; johnson 1995; lewanska 2002; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; sunbeam 2019; tower 2014; transforms 2010
CD011381__A4,CD012186__A2,CD011381,CD012186,27,31,105,0.2477,achiron 1998; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; beyond 2009; bornstein 1987; bravo 2014; care-ms i 2012; care-ms ii 2012; clarity 2010; confirm 2012; define 2012; fazekas 1997; freedoms 2010; freedoms ii 2014; goodkin 1991; ifnb ms group 1993; incomin 2002; johnson 1995; millefiorini 1997; mscrg 1996; opera i 2017; opera ii 2017; radiance 2019; regard 2008; temso 2011
CD011381__A11,CD012186__A1,CD011381,CD012186,26,28,85,0.2989,advance 2014; affirm 2006; allegro 2012; asclepios ii 2020; beyond 2009; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; freedoms 2010; freedoms ii 2014; gala 2013; mscrg 1996; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; tower 2014; transforms 2010
CD011381__A11,CD012186__A2,CD011381,CD012186,26,28,105,0.243,advance 2014; affirm 2006; allegro 2012; asclepios ii 2020; beyond 2009; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; freedoms 2010; freedoms ii 2014; gala 2013; mscrg 1996; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; tower 2014; transforms 2010
CD011381__A4,CD012186__A1,CD011381,CD012186,20,31,85,0.2083,affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; beyond 2009; bravo 2014; care-ms i 2012; care-ms ii 2012; clarity 2010; confirm 2012; define 2012; freedoms 2010; freedoms ii 2014; johnson 1995; mscrg 1996; opera i 2017; opera ii 2017; radiance 2019; regard 2008; temso 2011
CD012186__A2,CD015443__A2,CD012186,CD015443,16,105,20,0.1468,arpeggio 2020; ascend 2018; ellison 1989; european study group 1998; expand 2018; goodkin 1995; hommes 2004; impact 2002; informs 2016; leary 2003; nasp 2004; oratorio 2017; pohlau 2007; promess 2017; spectrims 2001; wolinsky 2007
CD012186__A2,CD015443__A10,CD012186,CD015443,13,105,15,0.1215,arpeggio 2020; ascend 2018; ellison 1989; european study group 1998; expand 2018; impact 2002; informs 2016; montalban 2009; nasp 2004; oratorio 2017; pohlau 2007; spectrims 2001; wolinsky 2007
